State,Program,HNumber,City,StartDate,Census
AL,Mercy LIFE of Alabama (Trinity),H4074,Mobile,1/1/2012,181
AR,Baptist Health PACE,H6342,North Little Rock,7/1/2016,101
AR,PACE of the Ozarks,H6425,Springdale,2/1/2019,99
AR,Total Life Healthcare,H4305,Jonesboro,8/1/2008,343
CA,AgeWell PACE,H2541,Rohnert Park,7/1/2023,28
CA,AltaMed PACE,H0542,Los Angeles,3/1/1996,4482
CA,Brandman Centers for Senior Care,H7855,Reseda,2/1/2013,309
CA,CalOptima Health,H7501,Orange,10/1/2013,457
CA,Center for Elders’ Independence,H5405,Oakland,7/1/1992,1084
CA,Central Valley PACE,H1228,Modesto,9/1/2020,267
CA,Family Health Centers of San Diego PACE,H1693,San Diego,7/1/2019,327
CA,Gary and Mary West,H3563,San Marcos,9/1/2019,354
CA,InnovAge California PACE - Crenshaw,H7366,Los Angeles,9/1/2022,16
CA,InnovAge California PACE – Sacramento,H2368,Sacramento,7/1/2020,250
CA,InnovAge California PACE – San Bernardino,H6079,San Bernardino,3/1/2014,1391
CA,Innovative Integrated Health,H9592,Fresno,8/1/2014,1724
CA,Loma Linda University Health PACE,H6147,Redlands,2/1/2024,0
CA,myPlace PACE Greater Los Angeles,H4626,Los Angeles,2/1/2024,0
CA,Neighborhood Healthcare PACE,H4185,Riverside,7/1/2021,164
CA,NEMS PACE,H1622,San Francisco,1/1/2021,120
CA,On Lok PACE,H5403,San Francisco,5/1/1983,1856
CA,Providence PACE,H2085,Napa,5/1/2023,25
CA,Redwood Coast PACE,H3517,Eureka,9/1/2014,287
CA,San Diego PACE,H9616,San Diego,4/1/2015,2694
CA,St. Paul’s PACE,H5629,San Diego,2/1/2008,1464
CA,Sutter SeniorCare,H5406,Sacramento,5/1/1994,463
CA,WelbeHealth Fresno,H2384,Fresno,11/1/2020,706
CA,WelbeHealth Long Beach,H1544,Long Beach,6/1/2020,442
CA,WelbeHealth Pasadena,H0934,Pasadena,7/1/2019,560
CA,WelbeHealth San Jose,H6317,San Jose,1/1/2024,0
CA,WelbeHealth Stockton,H8082,Stockton,1/1/2019,837
CO,HopeWest PACE,H9649,Grand Junction,10/1/2021,145
CO,InnovAge Colorado PACE,H0613,Denver,10/1/1991,2813
CO,Rocky Mountain PACE,H5167,Colorado Springs,12/1/2008,972
CO,Senior CommUnity Care of CO,H2815,Montrose,8/1/2008,289
CO,TRU PACE,H7262,Lafayette,3/1/2017,306
DC,Edenbridge PACE at Skyland,H9564,SE Washington,3/1/2023,40
DE,PACE Your LIFE,H8614,Milford,6/1/2022,46
DE,Saint Francis LIFE (Trinity),H5493,Wilmington,2/1/2013,307
FL,Empath LIFE,H0440,Tampa,3/1/2024,0
FL,Florida PACE Centers,H1043,Miami,1/1/2003,1032
FL,Hope PACE,H5934,Fort Myers,2/1/2008,495
FL,InnovAge Florida PACE – Tampa,H4919,Tampa,1/1/2024,0
FL,Mount Sinai Eldercare,H9252,Hialeah,9/1/2023,17
FL,Palm Beach PACE,H0112,West Palm Beach,11/1/2013,841
